"#","Collection","Volume (7d)","Sales (7d)","Volume (All Time)","Sales (All Time)","Avg Price (7d)","Total Supply","Owners","Owners%","Estimated Market Cap","Added"
"142","Dapper Dinos NFT","1.89 ETH","25","4,704.69 ETH","13,925","0.08 ETH","9,442","3,939","41.72%","715.29 ETH","2022/07/25"
"143","Fancy Bears Metaverse","3.86 ETH","20","4,676.68 ETH","9,804","0.19 ETH","7,888","2,848","36.11%","1,521.94 ETH","2022/08/17"
"144","The Wanderers","0.53 ETH","9","4,616.43 ETH","15,138","0.06 ETH","8,887","4,079","45.90%","525.64 ETH","2022/08/09"
"145","Grandpa Ape Country Club","7.35 ETH","44","4,585.01 ETH","10,180","0.17 ETH","5,000","1,655","33.10%","835.29 ETH","2022/07/28"
"146","uwucrew","0.90 ETH","11","4,567.44 ETH","17,343","0.08 ETH","9,669","3,745","38.73%","795.06 ETH","2022/07/08"
"147","Crypto Cannabis Club","2.08 ETH","35","4,486.41 ETH","15,118","0.06 ETH","10,000","4,378","43.78%","594.87 ETH","2022/07/18"
"148","Meta Eagle Club - THE COLLECTION","0.90 ETH","29","4,372.79 ETH","9,739","0.03 ETH","12,000","5,706","47.55%","373.71 ETH","2022/07/04"
"149","Avastars","1.59 ETH","27","4,360.52 ETH","12,307","0.06 ETH","26,366","5,078","19.26%","1,550.71 ETH","2022/08/30"
"150","The Official Surreals","0.42 ETH","18","4,301.37 ETH","14,202","0.02 ETH","9,983","4,893","49.01%","234.82 ETH","2022/07/26"
"151","The Indifferent Duck","0.07 ETH","11","4,092.63 ETH","16,727","0.01 ETH","9,904","4,595","46.40%","65.82 ETH","2022/07/04"
"152","Lil Pudgys","208.87 ETH","637","4,035.99 ETH","29,371","0.33 ETH","20,620","6,746","32.72%","6,761.23 ETH","2022/08/01"
"153","Royal Society of Players","0.91 ETH","22","3,962.44 ETH","11,938","0.04 ETH","9,999","1,567","15.67%","414.69 ETH","2022/08/15"
"154","Bored Mummy Waking Up","0.55 ETH","17","3,737.09 ETH","17,193","0.03 ETH","8,888","3,650","41.07%","289.65 ETH","2022/07/16"
"155","Rebel Bots","1.52 ETH","16","3,702.35 ETH","14,605","0.09 ETH","10,000","3,400","34.00%","949.77 ETH","2022/07/23"
"156","The KILLAZ","0.14 ETH","19","3,689.57 ETH","16,271","0.01 ETH","9,967","3,917","39.30%","75.07 ETH","2022/07/04"
"157","Alpha Girl Club","0.61 ETH","15","3,685.82 ETH","11,813","0.04 ETH","9,860","5,183","52.57%","398.69 ETH","2022/08/09"
"158","Ether Cards Founder","0.76 ETH","7","3,640.21 ETH","3,544","0.11 ETH","10,000","1,439","14.39%","1,082.00 ETH","2022/08/10"
"159","MonsterBuds Genesis","0.34 ETH","24","3,639.06 ETH","10,309","0.01 ETH","11,205","3,217","28.71%","159.76 ETH","2022/08/05"
"160","24px","0.27 ETH","8","3,589.96 ETH","28,269","0.03 ETH","9,893","4,208","42.54%","335.04 ETH","2022/08/11"
"161","The Seekers","19.08 ETH","286","3,567.65 ETH","21,195","0.07 ETH","47,892","6,333","13.22%","3,195.80 ETH","2022/08/01"
"162","Ready Player Cat NFT","0.01 ETH","1","3,564.58 ETH","6,886","0.01 ETH","4,949","1,967","39.75%","61.13 ETH","2022/08/10"
"163","Goons of Balatroon","0.85 ETH","8","3,563.21 ETH","12,019","0.11 ETH","9,695","2,809","28.97%","1,036.03 ETH","2022/07/09"
"164","Apostles: Genesis","1.97 ETH","12","3,538.80 ETH","3,732","0.16 ETH","7,357","2,363","32.12%","1,207.26 ETH","2022/08/11"
"165","Claylings","0.74 ETH","8","3,523.47 ETH","10,279","0.09 ETH","4,040","1,957","48.44%","374.41 ETH","2022/08/08"
"166","Doge Pound Puppies","1.36 ETH","21","3,471.55 ETH","7,909","0.06 ETH","8,331","4,665","56.00%","537.74 ETH","2022/08/10"
"167","Omnimorphs","0.71 ETH","28","3,462.50 ETH","13,729","0.03 ETH","8,958","3,895","43.48%","228.17 ETH","2022/08/14"
"168","FameLadySquad","1.16 ETH","16","3,441.27 ETH","19,009","0.07 ETH","8,882","3,902","43.93%","642.61 ETH","2022/08/30"
"169","DuskBreakers","1.60 ETH","19","3,368.45 ETH","14,013","0.08 ETH","10,000","2,824","28.24%","841.22 ETH","2022/07/16"
"170","CROAKZ by McGill!","1.26 ETH","41","3,360.30 ETH","15,037","0.03 ETH","6,996","3,388","48.43%","215.21 ETH","2022/07/11"
"171","Moshi Mochi","0.28 ETH","25","3,299.78 ETH","16,147","0.01 ETH","7,998","3,610","45.14%","88.58 ETH","2022/07/03"
"172","PixelMap","1.00 ETH","1","3,296.08 ETH","1,208","1.00 ETH","2,667","526","19.72%","2,667.00 ETH","2022/08/19"
"173","GhostsProject","0.62 ETH","13","3,284.11 ETH","10,460","0.05 ETH","9,999","3,343","33.43%","478.57 ETH","2022/07/25"
"174","Fatales","0.22 ETH","15","3,277.07 ETH","13,632","0.01 ETH","9,982","3,718","37.25%","147.01 ETH","2022/08/09"
"175","Gauntlets","0.22 ETH","11","3,275.06 ETH","8,905","0.02 ETH","9,992","3,486","34.89%","202.29 ETH","2022/08/09"
"176","Chumbi Valley Official","3.74 ETH","21","3,212.72 ETH","4,451","0.18 ETH","4,096","1,740","42.48%","729.62 ETH","2022/03/29"
"177","Axolittles","0.26 ETH","18","3,169.06 ETH","17,197","0.01 ETH","9,999","3,452","34.52%","142.57 ETH","2021/09/08"
"178","Laid Back Llamas Collection","4.43 ETH","46","3,137.33 ETH","11,799","0.10 ETH","7,000","3,242","46.31%","674.06 ETH","2022/07/28"
"179","Party Penguins","0.05 ETH","6","3,136.18 ETH","15,400","0.01 ETH","9,886","3,946","39.92%","77.93 ETH","2022/08/30"
"180","Purrnelopes Country Club","1.45 ETH","16","3,124.20 ETH","10,205","0.09 ETH","10,000","3,590","35.90%","906.78 ETH","2022/08/14"
"181","The Squishiverse NFT","8.01 ETH","84","3,103.68 ETH","18,765","0.10 ETH","8,888","723","8.13%","847.72 ETH","2022/07/03"
"182","Knights of Degen","7.19 ETH","23","3,094.40 ETH","9,865","0.31 ETH","8,873","2,730","30.77%","2,774.55 ETH","2022/07/26"
"183","GossApe Girl","1.87 ETH","32","3,055.53 ETH","11,919","0.06 ETH","7,000","3,109","44.41%","409.18 ETH","2022/07/01"
