"#","Collection","Volume (7d)","Sales (7d)","Volume (All Time)","Sales (All Time)","Avg Price (7d)","Total Supply","Owners","Owners%","Estimated Market Cap","Added"
"371","My Fucking Pickle","0 ETH","0","1,060.85 ETH","14,346","0 ETH","9,995","2,726","27.27%","0 ETH","2022/07/08"
"372","Dirtybird Flight Club","0.17 ETH","15","1,058.55 ETH","8,244","0.01 ETH","9,081","3,523","38.80%","101.77 ETH","2022/07/26"
"373","GEMMA BY TRISTAN EATON","5.88 ETH","36","1,058.26 ETH","5,161","0.16 ETH","4,388","2,485","56.63%","717.28 ETH","2022/07/20"
"374","ThorGuards","0.07 ETH","2","1,054.00 ETH","4,582","0.03 ETH","9,991","3,100","31.03%","328.70 ETH","2022/07/23"
"375","Paradise Trippies","2.08 ETH","68","1,052.08 ETH","6,748","0.03 ETH","10,000","1,959","19.59%","305.31 ETH","2022/08/05"
"376","FoxyFam","0.10 ETH","2","1,030.04 ETH","4,828","0.05 ETH","3,333","1,338","40.14%","166.65 ETH","2022/08/08"
"377","Doge Army by ShibaDoge","7.78 ETH","70","1,025.29 ETH","4,758","0.11 ETH","9,990","1,250","12.51%","1,110.85 ETH","2022/07/04"
"378","Monster Blocks - Official","0.02 ETH","2","1,020.51 ETH","8,023","0.01 ETH","8,865","1,973","22.26%","99.29 ETH","2021/08/20"
"379","Demi-Human NFT","0.35 ETH","8","1,019.85 ETH","4,217","0.04 ETH","10,001","3,881","38.81%","432.42 ETH","2022/08/04"
"380","Crypto Corgis","0.33 ETH","17","1,019.72 ETH","7,497","0.02 ETH","9,982","4,122","41.29%","195.35 ETH","2021/08/17"
"381","Tennis Champs Genesis","0.86 ETH","11","1,018.72 ETH","6,021","0.08 ETH","3,333","1,173","35.19%","260.34 ETH","2022/06/28"
"382","SamuraiCats by Hiro Ando","0.06 ETH","4","1,010.04 ETH","4,843","0.02 ETH","4,747","1,862","39.22%","71.21 ETH","2022/07/16"
"383","The Evolving Forest Genesis","0.32 ETH","8","1,008.47 ETH","5,776","0.04 ETH","9,337","1,327","14.21%","378.15 ETH","2022/07/30"
"384","Arabian Camels","0.55 ETH","19","1,001.23 ETH","14,674","0.03 ETH","12,011","3,227","26.87%","345.66 ETH","2022/08/30"
"385","Chill Bear Club Genesis","0 ETH","0","999.51 ETH","8,120","0 ETH","5,556","1,417","25.50%","0 ETH","2022/06/24"
"386","ChainFaces","0.43 ETH","5","985.06 ETH","4,641","0.09 ETH","9,999","1,270","12.70%","866.31 ETH","2022/07/26"
"387","Women Unite - 10k Assemble","1.98 ETH","13","975.62 ETH","3,116","0.15 ETH","6,815","1,544","22.66%","1,036.93 ETH","2022/08/05"
"388","Based Fish Mafia","0.30 ETH","15","972.84 ETH","9,527","0.02 ETH","8,689","2,338","26.91%","176.10 ETH","2022/07/16"
"389","Fuzzy Felons","0 ETH","0","971.97 ETH","5,702","0 ETH","3,333","1,443","43.29%","0 ETH","2022/08/14"
"390","The Goobers","0.80 ETH","32","965.92 ETH","8,035","0.02 ETH","14,575","4,393","30.14%","362.90 ETH","2022/08/18"
"391","Cheebs NFT","0.02 ETH","3","956.85 ETH","21,615","0.01 ETH","10,000","3,486","34.86%","53.00 ETH","2022/08/09"
"392","Okay Duck Yacht Club","0.36 ETH","16","935.42 ETH","14,832","0.02 ETH","5,554","2,139","38.51%","124.37 ETH","2022/06/24"
"393","The Soldiers Of The Metaverse","0.23 ETH","7","934.28 ETH","7,970","0.03 ETH","7,495","2,567","34.25%","246.48 ETH","2022/08/01"
"394","WE ARE THE OUTKAST","1.14 ETH","19","932.46 ETH","11,901","0.06 ETH","9,817","2,652","27.01%","589.49 ETH","2022/08/08"
"395","BULLSEUM","0 ETH","0","931.22 ETH","4,711","0 ETH","4,999","1,969","39.39%","0 ETH","2022/07/04"
"396","CryptoFighters","0.20 ETH","5","904.30 ETH","6,635","0.04 ETH","4,953","1,331","26.87%","198.12 ETH","2022/08/09"
"397","WE ARE KLOUD","0.03 ETH","3","904.09 ETH","4,613","0.01 ETH","5,000","2,408","48.16%","51.83 ETH","2022/07/28"
"398","BlankFace","0.01 ETH","2","899.47 ETH","9,281","0.00 ETH","9,982","5,293","53.03%","40.43 ETH","2022/08/08"
"399","Lucky Maneki","0 ETH","0","898.55 ETH","9,307","0 ETH","14,127","3,108","22.00%","0 ETH","2022/08/29"
"400","Robopets","0.73 ETH","16","890.60 ETH","4,887","0.05 ETH","8,017","3,942","49.17%","366.72 ETH","2022/08/03"
"401","Wanna Panda","0.05 ETH","6","885.53 ETH","7,407","0.01 ETH","9,996","3,020","30.21%","80.17 ETH","2022/08/14"
"402","Slumdoge Billionaires","0.05 ETH","3","882.91 ETH","7,784","0.02 ETH","9,991","2,561","25.63%","168.18 ETH","2022/08/30"
"403","Doodled Punks (DUNKS)","0 ETH","0","880.66 ETH","4,160","0 ETH","2,499","1,076","43.06%","0 ETH","2022/06/29"
"404","CanineCartel","0.04 ETH","1","873.08 ETH","8,029","0.04 ETH","9,998","4,351","43.52%","399.92 ETH","2022/08/08"
"405","Goat Soup by Andy Milonakis","0.14 ETH","5","865.06 ETH","5,170","0.03 ETH","3,743","2,018","53.91%","107.94 ETH","2022/07/16"
"406","Galaxy-Warriors","2.40 ETH","35","862.43 ETH","5,393","0.07 ETH","9,999","3,412","34.12%","685.07 ETH","2022/06/30"
"407","Uncool Cats NFT","0.91 ETH","5","857.23 ETH","8,644","0.18 ETH","6,966","2,679","38.46%","1,264.75 ETH","2022/07/17"
"408","The Dreamers","0.14 ETH","8","854.23 ETH","9,481","0.02 ETH","14,065","4,162","29.59%","243.52 ETH","2022/08/11"
"409","Lucky Sloths NFT","0.04 ETH","3","850.72 ETH","9,000","0.01 ETH","2,698","1,510","55.97%","37.32 ETH","2022/08/08"
"410","CryptoMutts","0.39 ETH","19","846.57 ETH","7,319","0.02 ETH","9,998","2,285","22.85%","203.33 ETH","2022/07/31"
"411","NFT Gurus","0.45 ETH","12","843.12 ETH","3,243","0.04 ETH","7,770","4,216","54.26%","288.14 ETH","2022/07/25"
"412","Angry Boars","0.02 ETH","4","834.36 ETH","9,159","0.00 ETH","10,000","3,476","34.76%","44.30 ETH","2022/07/31"
"413","COSMIC COWGIRLS: NFT","0.20 ETH","29","826.71 ETH","9,298","0.01 ETH","6,962","3,313","47.59%","47.60 ETH","2022/07/19"
"414","AzukiApeSocialClub","5.59 ETH","32","813.61 ETH","5,010","0.17 ETH","3,333","768","23.04%","582.03 ETH","2022/06/28"
"415","Lostboy NFT","0.27 ETH","13","804.41 ETH","10,416","0.02 ETH","10,000","3,004","30.04%","208.08 ETH","2022/07/14"
"416","Ethereans Official","0.09 ETH","7","802.78 ETH","6,221","0.01 ETH","10,997","2,645","24.05%","137.46 ETH","2022/08/09"
"417","Bud Light N3XT Collection","1.24 ETH","49","797.89 ETH","6,652","0.03 ETH","12,588","5,247","41.68%","318.66 ETH","2022/08/08"
"418","The Metapreneurs","0.45 ETH","13","797.62 ETH","3,917","0.03 ETH","11,111","5,595","50.36%","382.13 ETH","2022/08/02"
"419","Lysergic Labs Shroomz","0 ETH","0","793.11 ETH","6,570","0 ETH","8,549","3,156","36.92%","0 ETH","2022/08/10"
"420","Mini Supers","0.03 ETH","3","779.95 ETH","10,821","0.01 ETH","6,968","2,397","34.40%","65.03 ETH","2022/06/28"
"421","Ciphersquares Official","0 ETH","0","774.73 ETH","4,376","0 ETH","3,616","1,194","33.02%","0 ETH","2022/07/11"
"422","Casual Sloths Official","0.21 ETH","26","770.98 ETH","9,003","0.01 ETH","4,443","1,531","34.46%","35.89 ETH","2022/07/26"
"423","CrazySkullzNFT","0 ETH","0","770.76 ETH","8,475","0 ETH","10,000","2,762","27.62%","0 ETH","2022/08/11"
"424","Spookies NFT","0.11 ETH","3","768.81 ETH","8,041","0.04 ETH","8,885","2,635","29.66%","338.22 ETH","2022/07/20"
"425","Superfuzz The Good Guys","0.02 ETH","2","756.64 ETH","6,782","0.01 ETH","7,605","3,249","42.72%","68.45 ETH","2022/08/16"
"426","Super Geisha","0.15 ETH","17","755.43 ETH","6,604","0.01 ETH","6,776","1,974","29.13%","60.12 ETH","2022/07/03"
"427","The Modz","0.12 ETH","6","754.31 ETH","8,304","0.02 ETH","5,555","2,465","44.37%","109.34 ETH","2022/08/04"
"428","Apes Of Space","0 ETH","0","752.56 ETH","11,376","0 ETH","10,000","5,484","54.84%","0 ETH","2022/08/29"
"429","Lumps World","0.27 ETH","1","747.80 ETH","1,116","0.27 ETH","500","283","56.60%","134.50 ETH","2022/08/11"
"430","Dreamloops","0.08 ETH","2","745.92 ETH","9,785","0.04 ETH","9,520","1,980","20.80%","376.04 ETH","2022/08/09"
"431","Mutant Grandpa Country Club","3.22 ETH","75","742.24 ETH","6,008","0.04 ETH","6,343","1,602","25.26%","272.60 ETH","2022/07/10"
"432","Holy Cows","0.02 ETH","1","740.90 ETH","5,998","0.02 ETH","5,000","1,934","38.68%","95.00 ETH","2022/08/10"
"433","Lazy Bunny NFT","0.45 ETH","9","737.94 ETH","4,036","0.05 ETH","5,555","3,016","54.29%","275.84 ETH","2022/07/19"
"434","the pixels inc","0.12 ETH","7","737.77 ETH","4,854","0.02 ETH","5,062","1,669","32.97%","86.99 ETH","2022/08/05"
"435","Ethalien","0.03 ETH","4","737.66 ETH","8,851","0.01 ETH","7,500","1,821","24.28%","48.56 ETH","2022/08/04"
"436","Sneaky Bat Syndicate","0.28 ETH","8","727.22 ETH","4,762","0.04 ETH","8,343","2,213","26.53%","296.18 ETH","2022/08/12"
"437","Kindergarten BabyApes (KBA)","0.02 ETH","4","722.65 ETH","8,299","0.01 ETH","9,999","5,332","53.33%","59.74 ETH","2022/08/02"
"438","Coalition Crew","7.95 ETH","11","720.95 ETH","661","0.72 ETH","1,010","510","50.50%","730.24 ETH","2022/01/13"
"439","BearsOnTheBlock","9.98 ETH","138","719.45 ETH","5,646","0.07 ETH","9,494","3,285","34.60%","686.55 ETH","2022/08/29"
"440","The Ninja Hideout","0.02 ETH","3","716.76 ETH","7,501","0.01 ETH","8,879","3,447","38.82%","66.59 ETH","2022/07/31"
"441","XOiD Fleet 001","0.30 ETH","11","715.57 ETH","2,401","0.03 ETH","4,444","1,322","29.75%","121.36 ETH","2022/07/16"
"442","EtherGals","0.01 ETH","1","714.30 ETH","6,937","0.01 ETH","5,536","2,279","41.17%","27.68 ETH","2022/08/16"
"443","Persona Lamps","0 ETH","0","708.98 ETH","5,550","0 ETH","4,439","1,460","32.89%","0 ETH","2022/06/29"
"444","Queen Apes","6.52 ETH","102","708.59 ETH","5,144","0.06 ETH","8,888","2,227","25.06%","568.42 ETH","2022/06/24"
"445","The Wild Bunch Official","0.77 ETH","2","702.11 ETH","3,408","0.38 ETH","4,000","1,680","42.00%","1,535.82 ETH","2022/07/04"
"446","TinyPaws","0 ETH","0","700.42 ETH","5,510","0 ETH","5,283","2,405","45.52%","0 ETH","2022/08/13"
"447","BroadcastersNFT","0 ETH","0","697.59 ETH","7,783","0 ETH","7,759","2,460","31.71%","0 ETH","2022/08/08"
"448","SpaceBoysNFT","0.05 ETH","4","690.41 ETH","10,644","0.01 ETH","8,880","4,614","51.96%","119.44 ETH","2022/07/27"
"449","Junglebay Ape Club","0.30 ETH","8","686.51 ETH","4,856","0.04 ETH","5,555","1,882","33.88%","207.09 ETH","2022/07/04"
"450","Dark Horizon","0.03 ETH","4","686.39 ETH","6,721","0.01 ETH","8,683","2,587","29.79%","60.78 ETH","2022/07/26"
"451","Billionaire Zombies Club","0.38 ETH","14","681.13 ETH","12,583","0.03 ETH","10,000","3,440","34.40%","269.29 ETH","2022/07/30"
"452","MONGS NFT","0.52 ETH","13","678.73 ETH","7,275","0.04 ETH","6,945","1,578","22.72%","277.05 ETH","2022/08/02"
"453","The CryptoMoms","0.75 ETH","22","672.06 ETH","4,407","0.03 ETH","8,785","5,258","59.85%","297.85 ETH","2022/07/22"
"454","Genesis Blocks Art","0.20 ETH","7","672.00 ETH","3,798","0.03 ETH","2,498","1,102","44.12%","70.02 ETH","2022/08/01"
"455","Gorilla Nemesis","0.05 ETH","3","666.03 ETH","5,098","0.02 ETH","5,000","1,278","25.56%","83.33 ETH","2022/06/30"
"456","Untamed Elephants","0.05 ETH","3","665.96 ETH","9,490","0.02 ETH","7,500","3,080","41.07%","120.00 ETH","2022/08/29"
"457","StripperVille NFTs","0.15 ETH","2","663.41 ETH","3,640","0.07 ETH","3,010","582","19.34%","219.73 ETH","2022/08/12"
"458","TheDiamondHands","0.04 ETH","6","661.90 ETH","7,188","0.01 ETH","11,109","2,261","20.35%","72.15 ETH","2022/07/26"
"459","Lazy Lions Bungalows","0.51 ETH","21","657.00 ETH","6,037","0.02 ETH","10,262","4,806","46.83%","247.56 ETH","2022/08/11"
"460","Dizzy Dragons","0.33 ETH","14","656.44 ETH","6,422","0.02 ETH","5,593","2,096","37.48%","132.84 ETH","2022/07/21"
"461","Tribe Odyssey","16.97 ETH","154","655.65 ETH","4,152","0.11 ETH","9,400","1,704","18.13%","1,035.90 ETH","2022/08/24"
"462","Egg Heads Club","0.05 ETH","1","647.96 ETH","5,664","0.05 ETH","3,499","1,512","43.21%","174.95 ETH","2022/07/03"
"463","Bad Bears","10.34 ETH","126","647.01 ETH","4,272","0.08 ETH","5,555","1,753","31.56%","455.65 ETH","2022/07/03"
"464","J. Pierce & Friends","0.03 ETH","2","643.45 ETH","5,318","0.01 ETH","4,000","1,926","48.15%","59.00 ETH","2022/07/20"
"465","Lost Souls Sanctuary","0.06 ETH","4","642.66 ETH","6,461","0.02 ETH","9,998","1,849","18.49%","150.22 ETH","2022/07/15"
"466","Founder Bricks","0.14 ETH","11","641.81 ETH","3,481","0.01 ETH","8,888","2,271","25.55%","111.34 ETH","2022/06/28"
"467","WAGMI Game Genesis Collection","22.87 ETH","23","636.33 ETH","1,311","0.99 ETH","3,014","978","32.45%","2,997.36 ETH","2022/06/24"
"468","Choadz","0.01 ETH","1","635.82 ETH","2,464","0.01 ETH","4,915","2,234","45.45%","49.15 ETH","2021/10/28"
"469","Sora's Dreamworld","0.06 ETH","8","634.64 ETH","6,713","0.01 ETH","8,628","3,598","41.70%","63.63 ETH","2022/07/26"
"470","Tie Dye Ninjas","0.04 ETH","5","634.00 ETH","6,570","0.01 ETH","7,759","2,891","37.26%","62.07 ETH","2022/07/01"
"471","Barn Owlz","0.61 ETH","20","630.90 ETH","5,615","0.03 ETH","3,000","1,246","41.53%","91.13 ETH","2022/08/29"
"472","MetaTravelers: Nibiru","0.52 ETH","20","630.21 ETH","6,181","0.03 ETH","7,777","2,820","36.26%","201.54 ETH","2022/07/17"
"473","Hunnys","0.46 ETH","19","625.18 ETH","9,166","0.02 ETH","10,000","2,648","26.48%","240.47 ETH","2022/07/04"
"474","CryptoTrunks","0.08 ETH","9","619.86 ETH","3,734","0.01 ETH","23,486","11,328","48.23%","201.25 ETH","2022/08/12"
"475","The Family Mooks by Doodle Labs","0.01 ETH","1","618.76 ETH","2,278","0.01 ETH","113","65","57.52%","0.90 ETH","2022/08/11"
"476","POW NFT","0.02 ETH","3","616.94 ETH","2,436","0.01 ETH","5,865","1,732","29.53%","29.33 ETH","2022/08/05"
"477","Nobody .","0.05 ETH","2","610.65 ETH","4,117","0.03 ETH","3,205","1,219","38.03%","83.33 ETH","2022/08/01"
"478","Starlink PixelNauts","0.53 ETH","14","593.47 ETH","3,950","0.04 ETH","10,000","1,759","17.59%","375.47 ETH","2022/07/19"
"479","Tokenmon","0 ETH","0","587.46 ETH","5,435","0 ETH","10,094","2,027","20.08%","0 ETH","2022/08/22"
"480","Cunning Foxes","0.04 ETH","7","586.56 ETH","14,714","0.01 ETH","7,605","3,778","49.68%","48.35 ETH","2021/07/25"
"481","Marine Marauderz 2D","0.02 ETH","5","577.54 ETH","10,950","0.00 ETH","7,772","2,579","33.18%","31.09 ETH","2022/07/17"
"482","Rowdy Roos","0.44 ETH","6","568.96 ETH","4,568","0.07 ETH","9,999","3,536","35.36%","733.43 ETH","2022/08/02"
"483","STARCATS NFT","0.03 ETH","2","567.36 ETH","2,328","0.02 ETH","1,512","930","61.51%","24.04 ETH","2022/08/12"
"484","Lamb Duhs","0.03 ETH","27","566.66 ETH","8,498","0.00 ETH","8,499","2,629","30.93%","10.70 ETH","2022/07/09"
"485","STRAWBERRY.WTF","0 ETH","0","561.93 ETH","5,923","0 ETH","9,968","3,345","33.56%","0 ETH","2022/07/14"
"486","OctoHedz Reloaded","0.00 ETH","2","551.26 ETH","5,112","0.00 ETH","8,000","1,909","23.86%","8.80 ETH","2022/07/24"
"487","Doodle Dogs NFT Official","0.08 ETH","46","541.48 ETH","9,585","0.00 ETH","9,999","3,429","34.29%","18.45 ETH","2022/07/29"
"488","Bad Kids Alley Official","0.00 ETH","2","538.87 ETH","6,311","0.00 ETH","8,882","3,456","38.91%","13.32 ETH","2022/06/29"
"489","Save the Martians","0.04 ETH","5","538.31 ETH","10,669","0.01 ETH","14,123","4,088","28.95%","124.28 ETH","2022/08/09"
"490","NFTheo","0 ETH","0","537.91 ETH","2,669","0 ETH","2,931","1,160","39.58%","0 ETH","2022/08/10"
"491","Deathbats Club","3.90 ETH","21","530.24 ETH","3,185","0.19 ETH","10,000","5,107","51.07%","1,854.87 ETH","2021/12/24"
"492","Lockdown Lemmings","0.01 ETH","1","527.37 ETH","8,145","0.01 ETH","9,984","3,864","38.70%","49.92 ETH","2022/06/29"
"493","Party Grandpa | Retirement Club","0.32 ETH","12","525.52 ETH","3,217","0.03 ETH","6,000","2,624","43.73%","160.18 ETH","2022/08/04"
"494","Basic Bored Ape Club","0.07 ETH","8","525.48 ETH","13,325","0.01 ETH","9,985","4,575","45.82%","81.32 ETH","2022/08/04"
"495","Guppy Gang","0.06 ETH","3","518.41 ETH","3,412","0.02 ETH","7,999","1,439","17.99%","155.85 ETH","2022/08/10"
"496","Remarkable Women NFT","0.13 ETH","14","515.48 ETH","5,180","0.01 ETH","6,000","2,137","35.62%","57.38 ETH","2022/06/29"
"497","The WonderQuest","0.06 ETH","6","515.07 ETH","4,564","0.01 ETH","9,971","2,812","28.20%","95.22 ETH","2022/08/14"
"498","The Wicked Stallions","0.22 ETH","10","512.69 ETH","5,370","0.02 ETH","9,811","3,585","36.54%","211.33 ETH","2022/08/29"
"499","Banana Task Force Ape","0.03 ETH","4","500.88 ETH","5,074","0.01 ETH","8,780","1,490","16.97%","68.92 ETH","2022/06/22"
"500","11 Captain's Club (Official)","0 ETH","0","499.99 ETH","134","0 ETH","1,111","605","54.46%","0 ETH","2022/06/24"
"501","Monster Shelter","0.02 ETH","4","498.63 ETH","7,220","0.01 ETH","5,554","2,265","40.78%","30.55 ETH","2022/07/29"
"502","PixelBeasts (Beastopia)","0.11 ETH","8","497.70 ETH","7,163","0.01 ETH","9,969","3,334","33.44%","138.32 ETH","2021/10/30"
"503","Crazy Babies Official","0 ETH","0","497.45 ETH","2,396","0 ETH","3,902","2,215","56.77%","0 ETH","2022/08/05"
"504","Buzzed Bear Hideout","0.20 ETH","7","496.92 ETH","7,227","0.03 ETH","9,999","2,633","26.33%","292.20 ETH","2021/08/12"
"505","Lucky Ducky NFT","0.28 ETH","17","495.90 ETH","8,075","0.02 ETH","7,777","2,723","35.01%","126.72 ETH","2022/06/28"
"506","Slacker Duck Pond","0.24 ETH","14","494.90 ETH","8,513","0.02 ETH","5,999","2,754","45.91%","102.20 ETH","2022/07/09"
"507","SemiSupers by SeeMikeDraw","0 ETH","0","494.36 ETH","5,178","0 ETH","5,555","1,305","23.49%","0 ETH","2022/07/03"
"508","Space Dinos Club","0.11 ETH","3","490.73 ETH","3,368","0.04 ETH","9,524","3,825","40.16%","343.18 ETH","2022/08/10"
"509","Slimes World","0.06 ETH","2","489.91 ETH","2,037","0.03 ETH","1,000","552","55.20%","30.00 ETH","2022/08/09"
"510","White Rabbit by GATE","0.02 ETH","2","488.37 ETH","5,770","0.01 ETH","8,765","4,027","45.94%","88.09 ETH","2022/08/03"
"511","The WynLambo","0.04 ETH","3","485.99 ETH","4,914","0.01 ETH","9,998","2,687","26.88%","146.89 ETH","2022/08/08"
"512","The Visitors","0.13 ETH","2","485.52 ETH","5,000","0.06 ETH","8,985","2,168","24.13%","561.56 ETH","2022/08/10"
"513","Standametti","0.09 ETH","5","481.25 ETH","3,762","0.02 ETH","4,330","1,744","40.28%","81.40 ETH","2022/08/04"
"514","Geisha Tea House","0.03 ETH","4","479.70 ETH","6,469","0.01 ETH","10,000","3,726","37.26%","77.75 ETH","2022/07/05"
"515","Moonlings NFT Official","0.30 ETH","16","476.75 ETH","7,092","0.02 ETH","10,000","2,934","29.34%","188.13 ETH","2022/07/01"
"516","Nonconformist Ducks","9.25 ETH","85","467.77 ETH","5,251","0.11 ETH","7,876","1,806","22.93%","856.91 ETH","2022/01/04"
"517","AfroDroids By Owo","0.02 ETH","3","466.48 ETH","5,881","0.01 ETH","12,099","3,715","30.71%","76.95 ETH","2022/06/30"
"518","Bear Market Bears NFT","0.00 ETH","1","465.49 ETH","6,718","0.00 ETH","9,949","3,126","31.42%","0.99 ETH","2022/08/10"
"519","HODL GANG","0 ETH","3","458.31 ETH","3,254","0 ETH","2,995","1,090","36.39%","0 ETH","2022/08/12"
"520","Dapper Dinos Karma Collective","0.15 ETH","1","457.80 ETH","456","0.15 ETH","555","364","65.59%","83.25 ETH","2022/08/08"
"521","Primate Social Society","0.01 ETH","1","453.05 ETH","5,825","0.01 ETH","9,997","2,421","24.22%","99.97 ETH","2022/07/31"
"522","PunkCats","0 ETH","0","445.35 ETH","2,070","0 ETH","1,000","474","47.40%","0 ETH","2022/07/19"
"523","The BirdHouse","0.02 ETH","4","443.92 ETH","5,810","0.00 ETH","5,992","2,155","35.96%","23.97 ETH","2022/07/15"
"524","Sewer Rat Social Club","0.01 ETH","2","441.53 ETH","5,942","0.01 ETH","8,887","2,358","26.53%","62.21 ETH","2022/07/02"
"525","HashGuise Gen One","0 ETH","0","441.05 ETH","3,870","0 ETH","9,986","2,544","25.48%","0 ETH","2022/07/30"
"526","Pixel Foxes Official","0.01 ETH","4","440.29 ETH","7,410","0.00 ETH","9,990","3,275","32.78%","34.97 ETH","2022/07/26"
"527","Spunks","0.03 ETH","3","440.17 ETH","2,168","0.01 ETH","9,688","1,181","12.19%","92.84 ETH","2022/08/14"
"528","The Tiger Archives - PMC x Tiger Beer","0.10 ETH","7","439.00 ETH","6,659","0.01 ETH","6,686","2,623","39.23%","97.33 ETH","2022/08/12"
"529","Fat Cats Genesis","1.22 ETH","22","437.01 ETH","3,204","0.06 ETH","5,000","1,181","23.62%","277.73 ETH","2022/06/24"
"530","Kami Genesis","0.01 ETH","1","433.61 ETH","5,050","0.01 ETH","2,896","1,548","53.45%","19.98 ETH","2022/06/29"
"531","Galactic Secret Agency","0.01 ETH","1","430.81 ETH","6,457","0.01 ETH","9,995","2,660","26.61%","99.95 ETH","2021/07/20"
"532","Blazed Cats","0.10 ETH","10","429.81 ETH","6,210","0.01 ETH","9,951","3,408","34.25%","103.29 ETH","2022/08/30"
"533","SoulZ Monogatari","0.22 ETH","10","425.20 ETH","4,009","0.02 ETH","7,776","3,430","44.11%","169.14 ETH","2022/06/28"
"534","ParanormiesNFT","0.06 ETH","6","418.00 ETH","4,228","0.01 ETH","4,200","1,510","35.95%","44.03 ETH","2022/08/03"
"535","Cypher City","0.01 ETH","2","417.22 ETH","6,579","0.00 ETH","8,887","2,791","31.41%","39.55 ETH","2022/07/22"
"536","Museum The White Room","0.02 ETH","2","415.97 ETH","3,549","0.01 ETH","4,795","2,359","49.20%","55.14 ETH","2022/08/05"
"537","EnterDAO Sharded Minds","0.07 ETH","8","413.04 ETH","1,746","0.01 ETH","5,000","1,591","31.82%","45.00 ETH","2022/07/03"
"538","Hungry Wolves","0.12 ETH","4","412.55 ETH","2,934","0.03 ETH","6,000","1,299","21.65%","180.00 ETH","2022/07/29"
"539","Shiba Shelter NFT","0 ETH","0","410.73 ETH","4,155","0 ETH","5,551","2,068","37.25%","0 ETH","2022/07/28"
"540","Lazy Cubs Official","4.11 ETH","58","408.29 ETH","3,503","0.07 ETH","7,700","3,089","40.12%","545.72 ETH","2022/08/05"
"541",""Pirate Treasure Booty Club"","0 ETH","0","407.17 ETH","6,788","0 ETH","4,942","1,758","35.57%","0 ETH","2022/08/30"
"542","Stoned Apez Saturn Club","0 ETH","0","401.22 ETH","5,437","0 ETH","6,966","2,350","33.74%","0 ETH","2022/07/25"
"543","Sushiverse","0 ETH","0","395.59 ETH","5,153","0 ETH","9,982","3,824","38.31%","0 ETH","2022/06/30"
"544","PugFrens","0.05 ETH","11","393.85 ETH","5,981","0.00 ETH","8,763","3,459","39.47%","38.40 ETH","2022/08/08"
"545","Volted Dragons Sailors Club - VDSC","18.54 ETH","55","392.50 ETH","1,100","0.34 ETH","4,402","812","18.45%","1,483.98 ETH","2022/08/14"
"546","Mutant-Gorillas","0.04 ETH","19","392.43 ETH","3,596","0.00 ETH","8,914","1,518","17.03%","20.64 ETH","2022/08/03"
"547","Two Bit Bears","0.06 ETH","2","392.09 ETH","5,239","0.03 ETH","4,998","1,625","32.51%","139.94 ETH","2022/07/25"
"548","Baby Combat Bots G1","0.01 ETH","1","391.76 ETH","3,260","0.01 ETH","3,491","1,370","39.24%","22.69 ETH","2022/07/11"
"549","Planetary Property Association: Surrealestates","0.29 ETH","13","387.41 ETH","4,492","0.02 ETH","10,000","2,558","25.58%","225.69 ETH","2022/07/03"
"550","WeMint Washington","0.02 ETH","2","387.27 ETH","6,916","0.01 ETH","9,991","3,730","37.33%","89.42 ETH","2022/07/23"
"551","IMMORTALZ - Ambary Assassins","0.02 ETH","1","385.10 ETH","3,083","0.02 ETH","4,517","1,751","38.76%","90.34 ETH","2022/08/05"
"552","Lobby Lobsters","0.03 ETH","3","382.05 ETH","3,539","0.01 ETH","9,999","2,575","25.75%","111.66 ETH","2022/06/30"
"553","Wilder Moto Genesis","2.83 ETH","15","381.95 ETH","810","0.19 ETH","6,396","1,503","23.50%","1,205.52 ETH","2022/09/23"
"554","GalaXY Kats Universe","0 ETH","0","378.12 ETH","2,972","0 ETH","9,999","2,949","29.49%","0 ETH","2022/07/17"
"555","Epic Eagles","0.01 ETH","1","377.27 ETH","8,016","0.01 ETH","7,668","3,862","50.37%","46.01 ETH","2022/07/31"
"556","RichKidsOfficial","0 ETH","0","377.06 ETH","4,153","0 ETH","7,365","3,017","40.96%","0 ETH","2022/08/08"
"557","Rare Ghost Club (RGC)","0.08 ETH","5","376.20 ETH","2,716","0.02 ETH","4,998","2,458","49.18%","84.97 ETH","2022/07/20"
"558","Song A Day","0.98 ETH","20","368.28 ETH","2,871","0.05 ETH","4,642","1,641","35.35%","227.94 ETH","2022/08/05"
"559","Atlantic Voyage Ape Club","0.83 ETH","16","368.22 ETH","2,138","0.05 ETH","3,300","834","25.27%","170.44 ETH","2022/06/24"
"560","PPPandas","0 ETH","0","367.61 ETH","4,144","0 ETH","3,999","1,274","31.86%","0 ETH","2022/08/08"
"561","Purojekuto3333 by Hisoka Gaka","0.11 ETH","3","366.30 ETH","1,713","0.04 ETH","2,190","556","25.39%","76.65 ETH","2022/08/02"
"562","Boring Bananas Co.","0.02 ETH","3","364.40 ETH","8,991","0.01 ETH","8,884","2,276","25.62%","53.30 ETH","2022/08/30"
"563","National Parks NFT","0.05 ETH","2","361.74 ETH","3,443","0.03 ETH","4,825","1,790","37.10%","121.35 ETH","2022/07/03"
"564","Ethalien VOX","0 ETH","0","361.69 ETH","6,303","0 ETH","9,998","3,040","30.41%","0 ETH","2022/07/03"
"565","Baller Bears NFT","0.08 ETH","4","356.72 ETH","2,373","0.02 ETH","4,444","1,196","26.91%","84.32 ETH","2022/06/29"
